no,UCL,LCL,Center,Data,"Out of Limits","Run of 7"
0,"244.31420280076293","240.87128364368147","242.5927432222222","241.84941600000002",,
1,"244.31420280076293","240.87128364368147","242.5927432222222","240.9887796",,
2,"244.31420280076293","240.87128364368147","242.5927432222222","240.51063759999997","240.51063759999997",
3,"244.31420280076293","240.87128364368147","242.5927432222222","240.62269460000002","240.62269460000002",
4,"244.31420280076293","240.87128364368147","242.5927432222222","240.65417459999998","240.65417459999998",
5,"244.31420280076293","240.87128364368147","242.5927432222222","241.9625782",,
6,"244.31420280076293","240.87128364368147","242.5927432222222","242.08214200000003",,
7,"244.31420280076293","240.87128364368147","242.5927432222222","242.12810240000005",,"242.12810240000005"
8,"244.31420280076293","240.87128364368147","242.5927432222222","242.12010500000002",,"242.12010500000002"
9,"244.31420280076293","240.87128364368147","242.5927432222222","241.9681222",,"241.9681222"
10,"244.31420280076293","240.87128364368147","242.5927432222222","241.5630756",,"241.5630756"
11,"244.31420280076293","240.87128364368147","242.5927432222222","242.1515806",,"242.1515806"
12,"244.31420280076293","240.87128364368147","242.5927432222222","241.307872",,"241.307872"
13,"244.31420280076293","240.87128364368147","242.5927432222222","241.490911",,"241.490911"
14,"244.31420280076293","240.87128364368147","242.5927432222222","242.576145",,"242.576145"
15,"244.31420280076293","240.87128364368147","242.5927432222222","240.97079679999996",,"240.97079679999996"
16,"244.31420280076293","240.87128364368147","242.5927432222222","241.7268428",,"241.7268428"
17,"244.31420280076293","240.87128364368147","242.5927432222222","241.04324860000003",,"241.04324860000003"
18,"244.31420280076293","240.87128364368147","242.5927432222222","240.8448686","240.8448686","240.8448686"
19,"244.31420280076293","240.87128364368147","242.5927432222222","242.51053259999998",,"242.51053259999998"
20,"244.31420280076293","240.87128364368147","242.5927432222222","243.5043458",,
21,"244.31420280076293","240.87128364368147","242.5927432222222","241.10561560000002",,
22,"244.31420280076293","240.87128364368147","242.5927432222222","242.97501219999998",,
23,"244.31420280076293","240.87128364368147","242.5927432222222","244.26953840000002",,
24,"244.31420280076293","240.87128364368147","242.5927432222222","242.9929302",,
25,"244.31420280076293","240.87128364368147","242.5927432222222","242.8680722",,
26,"244.31420280076293","240.87128364368147","242.5927432222222","242.67392",,
27,"244.31420280076293","240.87128364368147","242.5927432222222","242.76303280000002",,
28,"244.31420280076293","240.87128364368147","242.5927432222222","242.69849280000003",,"242.69849280000003"
29,"244.31420280076293","240.87128364368147","242.5927432222222","242.67167460000002",,"242.67167460000002"
30,"244.31420280076293","240.87128364368147","242.5927432222222","241.94107060000002",,
31,"244.31420280076293","240.87128364368147","242.5927432222222","242.02659880000002",,
32,"244.31420280076293","240.87128364368147","242.5927432222222","241.95455379999999",,
33,"244.31420280076293","240.87128364368147","242.5927432222222","242.4531316",,
34,"244.31420280076293","240.87128364368147","242.5927432222222","242.31258939999998",,
35,"244.31420280076293","240.87128364368147","242.5927432222222","242.6971474",,
36,"244.31420280076293","240.87128364368147","242.5927432222222","241.983574",,
37,"244.31420280076293","240.87128364368147","242.5927432222222","241.933774",,
38,"244.31420280076293","240.87128364368147","242.5927432222222","241.7277854",,
39,"244.31420280076293","240.87128364368147","242.5927432222222","243.02093380000002",,
40,"244.31420280076293","240.87128364368147","242.5927432222222","242.67338519999998",,
41,"244.31420280076293","240.87128364368147","242.5927432222222","241.95058939999998",,
42,"244.31420280076293","240.87128364368147","242.5927432222222","242.39030499999998",,
43,"244.31420280076293","240.87128364368147","242.5927432222222","243.19504139999998",,
44,"244.31420280076293","240.87128364368147","242.5927432222222","242.16435080000002",,
45,"244.31420280076293","240.87128364368147","242.5927432222222","243.24719179999997",,
46,"244.31420280076293","240.87128364368147","242.5927432222222","242.87202519999997",,
47,"244.31420280076293","240.87128364368147","242.5927432222222","242.51624780000003",,
48,"244.31420280076293","240.87128364368147","242.5927432222222","242.92948700000002",,
49,"244.31420280076293","240.87128364368147","242.5927432222222","243.44238140000002",,
50,"244.31420280076293","240.87128364368147","242.5927432222222","243.1848106",,
51,"244.31420280076293","240.87128364368147","242.5927432222222","242.41313380000003",,
52,"244.31420280076293","240.87128364368147","242.5927432222222","243.2014754",,
53,"244.31420280076293","240.87128364368147","242.5927432222222","242.54016819999998",,
54,"244.31420280076293","240.87128364368147","242.5927432222222","243.78078180000003",,
55,"244.31420280076293","240.87128364368147","242.5927432222222","242.51658579999997",,
56,"244.31420280076293","240.87128364368147","242.5927432222222","242.6517306",,
57,"244.31420280076293","240.87128364368147","242.5927432222222","242.83244640000004",,
58,"244.31420280076293","240.87128364368147","242.5927432222222","242.79940700000003",,
59,"244.31420280076293","240.87128364368147","242.5927432222222","242.3989972",,
60,"244.31420280076293","240.87128364368147","242.5927432222222","242.880087",,
61,"244.31420280076293","240.87128364368147","242.5927432222222","243.00679340000002",,
62,"244.31420280076293","240.87128364368147","242.5927432222222","243.42174759999997",,
63,"244.31420280076293","240.87128364368147","242.5927432222222","241.87784459999997",,
64,"244.31420280076293","240.87128364368147","242.5927432222222","242.3021142",,
65,"244.31420280076293","240.87128364368147","242.5927432222222","243.04558399999996",,
66,"244.31420280076293","240.87128364368147","242.5927432222222","242.655858",,
67,"244.31420280076293","240.87128364368147","242.5927432222222","243.3123536",,
68,"244.31420280076293","240.87128364368147","242.5927432222222","244.1944376",,
69,"244.31420280076293","240.87128364368147","242.5927432222222","243.476876",,
70,"244.31420280076293","240.87128364368147","242.5927432222222","242.81857140000002",,
71,"244.31420280076293","240.87128364368147","242.5927432222222","241.46941039999996",,
72,"244.31420280076293","240.87128364368147","242.5927432222222","242.51061239999999",,
73,"244.31420280076293","240.87128364368147","242.5927432222222","243.67385640000003",,
74,"244.31420280076293","240.87128364368147","242.5927432222222","242.05259379999998",,
75,"244.31420280076293","240.87128364368147","242.5927432222222","242.7709244",,
76,"244.31420280076293","240.87128364368147","242.5927432222222","242.383567",,
77,"244.31420280076293","240.87128364368147","242.5927432222222","242.5627828",,
78,"244.31420280076293","240.87128364368147","242.5927432222222","242.0254852",,
79,"244.31420280076293","240.87128364368147","242.5927432222222","242.23243259999998",,
80,"244.31420280076293","240.87128364368147","242.5927432222222","242.2986382",,
81,"244.31420280076293","240.87128364368147","242.5927432222222","242.7343636",,
82,"244.31420280076293","240.87128364368147","242.5927432222222","242.7303914",,
